Real: -5.419983, Imaginary: 0.250381
Real: 0.240877, Imaginary: -0.116644
Real: -0.327411, Imaginary: 0.286524
Real: 1.408946, Imaginary: -0.665420
Real: -1.088304, Imaginary: -0.190932
Real: 0.797013, Imaginary: 0.368655
Real: 0.862256, Imaginary: -0.009435
Real: 1.337671, Imaginary: -1.600081
Real: 1.787269, Imaginary: 1.256307
Real: -0.133878, Imaginary: -0.114345
Real: 1.303050, Imaginary: -0.508382
Real: 0.344269, Imaginary: 1.219949
Real: -0.584759, Imaginary: -0.695893
Real: -0.724767, Imaginary: 2.436347
Real: -3.581434, Imaginary: 0.777308
Real: 1.266506, Imaginary: 0.853524
Real: -0.457143, Imaginary: -0.126394
Real: 0.317116, Imaginary: 0.244474
Real: -1.424311, Imaginary: 0.287578
Real: -0.552768, Imaginary: 1.240720
Real: 0.613239, Imaginary: 1.769138
Real: -0.218339, Imaginary: -1.797554
Real: -0.603432, Imaginary: 0.737571
Real: 1.536957, Imaginary: 0.129531
Real: -1.251635, Imaginary: -0.215656
Real: 0.296907, Imaginary: 0.148147
Real: 0.341887, Imaginary: 0.327839
Real: -0.314347, Imaginary: 0.833914
Real: 0.517781, Imaginary: 0.485241
Real: -0.936826, Imaginary: -0.411220
Real: -0.344320, Imaginary: -1.928344
Real: 0.132476, Imaginary: -0.433556
Real: -0.837195, Imaginary: -0.785046
Real: 1.057976, Imaginary: 1.999353
Real: -0.885771, Imaginary: 1.195219
Real: -1.093690, Imaginary: 1.624075
Real: -1.153426, Imaginary: -0.935951
Real: 0.879563, Imaginary: 1.351289
Real: -0.668721, Imaginary: 2.153495
Real: 0.420622, Imaginary: -0.365231
Real: 0.192711, Imaginary: -0.032338
Real: 1.466990, Imaginary: 2.082921
Real: -0.397492, Imaginary: 0.633738
Real: -0.722092, Imaginary: -0.964979
Real: -1.212685, Imaginary: 1.197244
Real: -0.706381, Imaginary: -0.610136
Real: 0.420406, Imaginary: -0.716676
Real: 0.465931, Imaginary: 0.914385
Real: 0.833279, Imaginary: -0.208938
Real: -1.561822, Imaginary: 0.436375
Real: -0.421353, Imaginary: -0.413069
Real: -1.030361, Imaginary: -0.369132
Real: -0.017968, Imaginary: 0.306783
Real: -0.150673, Imaginary: 0.080813
Real: -1.022715, Imaginary: -0.392138
Real: 0.635381, Imaginary: -1.521722
Real: 0.855973, Imaginary: -0.629260
Real: -0.050474, Imaginary: 0.090118
Real: 0.248621, Imaginary: 0.342592
Real: -1.352250, Imaginary: 0.507902
Real: 0.973918, Imaginary: 0.843656
Real: -0.219279, Imaginary: 0.001655
Real: 0.651569, Imaginary: -0.796544
Real: 0.019568, Imaginary: -0.040007
Real: -1.310280, Imaginary: -2.356600
Real: -0.243053, Imaginary: -0.904056
Real: -0.431168, Imaginary: 0.775475
Real: -0.019119, Imaginary: -1.025360
Real: -0.084423, Imaginary: -0.084522
Real: 1.744583, Imaginary: 0.438488
Real: -0.150683, Imaginary: 0.172633
Real: -0.558528, Imaginary: 0.515826
Real: -1.849317, Imaginary: -0.137389
Real: 0.318764, Imaginary: -1.198908
Real: 0.021112, Imaginary: 1.621444
Real: 0.076821, Imaginary: 0.859344
Real: -0.758417, Imaginary: 0.091995
Real: 0.074499, Imaginary: 0.070083
Real: 1.423691, Imaginary: -0.530510
Real: 0.653192, Imaginary: -1.256316
Real: -2.922223, Imaginary: -0.829724
Real: 0.379839, Imaginary: 0.930059
Real: -0.528781, Imaginary: 0.817971
Real: 0.398602, Imaginary: 0.568504
Real: -0.431520, Imaginary: 0.293206
Real: -1.041568, Imaginary: -0.435312
Real: 1.860020, Imaginary: 0.743426
Real: 0.697496, Imaginary: 0.754978
Real: -0.199588, Imaginary: -0.521442
Real: -1.406909, Imaginary: -0.474538
Real: 0.144113, Imaginary: -0.722679
Real: 1.546426, Imaginary: 1.094074
Real: -0.498164, Imaginary: 2.272843
Real: -1.390053, Imaginary: -1.976782
Real: -2.248299, Imaginary: 0.127212
Real: 2.207333, Imaginary: -0.387624
Real: 2.143213, Imaginary: 0.397341
Real: 0.230140, Imaginary: 1.141645
Real: -1.395524, Imaginary: 0.430088
Real: 0.541052, Imaginary: 1.055437
